"","Site_ID","Date","Site_Subplot","Type","HoboName","Temp","Min","Max","Median","CV","Range","Subplot","LoggerID","TRT","Age","Day","Heatdome","MeanMin","MeanMax","MeanRange","MeanMean","MeanOffset","MinOffset","MaxOffset","RangeOffset"
"351","C2-15",2021-06-22,"C2-15_S","Air","9768727.csv",14.7065,12.98,16.808,14.2775,8.23312483187938,3.828,"S","9768727","CON",69,22,0,10.44489185292,23.0184701754386,12.5735783225186,14.3941002986043,-0.3123997013957,-2.53510814708003,6.21047017543859,8.74557832251863
"352","C2-15",2021-06-18,"C2-15_E","Air","9784529.csv",13.9713333333333,12.304,15.951,13.702,8.38071857028979,3.647,"E","9784529","CON",69,18,0,9.24315789473684,20.6997543859649,11.4565964912281,13.3145580275842,-0.656775305749152,-3.06084210526316,4.74875438596492,7.80959649122807
"353","C2-15",2021-06-30,"C2-15_S","Air","9768727.csv",16.6328333333333,15.187,18.901,16.141,6.88674841806943,3.714,"S","9768727","CON",69,30,0,12.6759459459459,16.9422494592646,4.26630351331865,13.9913783112105,-2.64145502212288,-2.51105405405405,-1.9587505407354,0.552303513318654
"354","C2-15",2021-06-25,"C2-15_E","Air","9784529.csv",19.87525,12.497,26.977,21.139,29.5060435314653,14.48,"E","9784529","CON",69,25,1,14.5317460881935,35.1094555555556,20.5777094673621,24.3496289427585,4.47437894275855,2.03474608819346,8.13245555555556,6.0977094673621
"355","C2-15",2021-06-28,"C2-15_S","Air","9768727.csv",24.90425,15.569,30.255,27.419,22.7410920098518,14.686,"S","9768727","CON",69,28,1,13.9388888888889,38.3482444444444,24.4093555555556,27.700448122627,2.79619812262695,-1.63011111111111,8.09324444444445,9.72335555555556
"356","C2-15",2021-06-29,"C2-15_S","Air","9768727.csv",16.8385,15.091,19.948,16.475,9.90148420657206,4.857,"S","9768727","CON",69,29,0,12.8534701754386,21.3307087719298,8.47723859649123,15.94464042237,-0.893859577629973,-2.2375298245614,1.38270877192982,3.62023859649123
"357","C2-15",2021-06-22,"C2-15_E","Air","9784529.csv",14.97675,12.98,17.379,14.469,9.88680909649272,4.399,"E","9784529","CON",69,22,0,10.44489185292,23.0184701754386,12.5735783225186,14.3941002986043,-0.582649701395699,-2.53510814708003,5.63947017543859,8.17457832251862
"358","C2-15",2021-06-23,"C2-15_S","Air","9768727.csv",13.7529166666667,12.207,16.427,12.835,11.9280299144734,4.22,"S","9768727","CON",69,23,0,9.68793333333333,21.268449122807,11.5805157894737,13.3003753231061,-0.452541343560576,-2.51906666666667,4.84144912280702,7.36051578947369
"359","C2-15",2021-06-17,"C2-15_S","Air","9768727.csv",14.9398333333333,11.528,18.616,14.1815,15.9377836931365,7.088,"S","9768727","CON",69,17,0,9.58612633181126,25.6611222222222,16.074995890411,16.372729223406,1.43289589007266,-1.94187366818874,7.04512222222223,8.98699589041096
"360","C2-15",2021-06-25,"C2-15_S","Air","9768727.csv",19.7478333333333,12.304,26.977,21.044,30.1766025431856,14.673,"S","9768727","CON",69,25,1,14.5317460881935,35.1094555555556,20.5777094673621,24.3496289427585,4.60179560942522,2.22774608819346,8.13245555555556,5.9047094673621
"361","C2-15",2021-06-15,"C2-15_S","Air","9768727.csv",13.30575,11.625,15.282,12.9795,9.15320745853512,3.657,"S","9768727","CON",69,15,0,9.89543759512938,14.4245368421053,4.52909924697589,11.4374355354724,-1.86831446452761,-1.72956240487062,-0.857463157894736,0.872099246975887
"362","C2-15",2021-06-20,"C2-15_E","Air","9784529.csv",17.60325,12.883,22.046,18.3305,20.8670680805918,9.163,"E","9784529","CON",69,20,0,10.7927888888889,28.9068140350877,18.1140251461988,19.1684621228384,1.56521212283841,-2.09021111111111,6.86081403508772,8.95102514619883
"363","C2-15",2021-06-21,"C2-15_E","Air","9784529.csv",18.3479166666667,14.038,23.966,17.331,21.3977009330057,9.928,"E","9784529","CON",69,21,0,12.1914771929825,31.3360444444444,19.144567251462,22.7666500323774,4.4187333657107,-1.84652280701754,7.37004444444445,9.21656725146199
"364","C2-15",2021-06-26,"C2-15_S","Air","9768727.csv",23.3971666666667,17.475,30.054,23.9195,20.089380446832,12.579,"S","9768727","CON",69,26,1,20.2762842105263,36.3253172314348,16.0490330209084,27.7363774880504,4.33921082138375,2.80128421052631,6.27131723143475,3.47003302090844
"365","C2-15",2021-06-16,"C2-15_S","Air","9768727.csv",14.4738333333333,11.041,18.331,13.749,18.8470742877862,7.29,"S","9768727","CON",69,16,0,8.45024912280702,25.6821333333333,17.2318842105263,15.620654486065,1.14682115273168,-2.59075087719298,7.35113333333333,9.94188421052632
"366","C2-15",2021-06-24,"C2-15_S","Air","9768727.csv",15.1949166666667,12.497,18.711,14.4215,16.5171124235897,6.214,"S","9768727","CON",69,24,1,9.87053333333333,25.1095962509012,15.2390629175679,16.7074557988324,1.51253913216569,-2.62646666666667,6.39859625090123,9.02506291756789
"367","C2-15",2021-06-23,"C2-15_E","Air","9784529.csv",13.8569166666667,12.11,16.523,13.0765,11.9475877059661,4.413,"E","9784529","CON",69,23,0,9.68793333333333,21.268449122807,11.5805157894737,13.3003753231061,-0.556541343560575,-2.42206666666667,4.74544912280702,7.16751578947368
"368","C2-15",2021-06-24,"C2-15_E","Air","9784529.csv",15.3229166666667,12.69,18.901,14.517,15.8801865700459,6.211,"E","9784529","CON",69,24,1,9.87053333333333,25.1095962509012,15.2390629175679,16.7074557988324,1.38453913216569,-2.81946666666667,6.20859625090123,9.02806291756789
"369","C2-17",2021-06-28,"C2-17_E","Soil","20202703.csv",22.1237083333333,15.855,26.292,24.4965,17.4360369817763,10.437,"E","20202703","CON",33,28,1,14.6116666666667,41.2765,26.6648333333333,28.2747881036949,6.15107977036157,-1.24333333333333,14.9845,16.2278333333333
"370","C2-17",2021-06-29,"C2-17_E","Soil","20202703.csv",15.8221666666667,14.613,17.855,15.521,6.72986696534719,3.242,"E","20202703","CON",33,29,0,13.2172070175439,23.5268912280702,10.3096842105263,17.1826659086284,1.36049924196174,-1.39579298245614,5.67189122807018,7.06768421052631
"371","C2-17",2021-06-17,"C2-17_S","Soil","20173904.csv",13.0921666666667,11.625,15.569,12.449,10.4477961137449,3.944,"S","20173904","CON",33,17,0,7.19526315789474,30.0570526315789,22.8617894736842,17.3632620137351,4.27109534706841,-4.42973684210526,14.4880526315789,18.9177894736842
"372","C2-17",2021-06-26,"C2-17_E","Soil","20202703.csv",20.6199166666667,19.092,22.621,20.71,5.76487693172367,3.529,"E","20202703","CON",33,26,1,15.8258807017544,38.8400561403509,23.0141754385965,26.2030096121897,5.58309294552303,-3.26611929824561,16.2190561403509,19.4851754385965
"373","C2-17",2021-06-26,"C2-17_S","Soil","20173904.csv",22.6644583333333,20.901,25.222,22.525,6.54428121991379,4.321,"S","20173904","CON",33,26,1,15.8258807017544,38.8400561403509,23.0141754385965,26.2030096121897,3.53855127885636,-5.07511929824561,13.6180561403509,18.6931754385965
"374","C2-17",2021-06-27,"C2-17_E","Soil","20202703.csv",24.9061666666667,20.996,28.555,25.3675,11.0073291332964,7.559,"E","20202703","CON",33,27,1,21.3097754385965,42.6895964912281,21.3798210526316,31.5614348196881,6.65526815302144,0.31377543859649,14.1345964912281,13.8208210526316
"375","C2-17",2021-06-30,"C2-17_E","Soil","20202703.csv",15.3689583333333,14.325,17.284,14.996,5.68063050279131,2.959,"E","20202703","CON",33,30,0,13.055457957958,18.924956741168,5.86949878321003,14.8220394050345,-0.546918928298792,-1.26954204204204,1.64095674116799,2.91049878321003
"376","C2-17",2021-06-15,"C2-17_E","Air","9784531.csv",12.325,10.748,14.134,12.013,8.98154086356605,3.386,"E","9784531","CON",33,15,0,9.89543759512938,14.4245368421053,4.52909924697589,11.4374355354724,-0.887564464527614,-0.852562404870623,0.290536842105263,1.14309924697589
"377","C2-17",2021-06-15,"C2-17_S","Soil","20173904.csv",12.2239583333333,10.748,14.038,12.013,8.95629526243517,3.29,"S","20173904","CON",33,15,0,9.72318493150685,16.3200070175439,6.59682208603701,11.8991812036983,-0.324777129635043,-1.02481506849315,2.28200701754386,3.30682208603701
"378","C2-17",2021-06-16,"C2-17_S","Soil","20173904.csv",12.725,10.651,15.664,12.2555,12.0657072842838,5.013,"S","20173904","CON",33,16,0,7.22398245614035,26.9032175438596,19.6792350877193,15.9659461290238,3.24094612902376,-3.42701754385965,11.2392175438596,14.6662350877193
"379","C2-17",2021-06-25,"C2-17_E","Soil","20202703.csv",17.192125,12.69,20.519,17.6645,15.9087183792583,7.829,"E","20202703","CON",33,25,1,12.6072439544808,35.2648333333333,22.6575893788525,23.5819603597018,6.38983535970181,-0.0827560455192025,14.7458333333333,14.8285893788525
"380","C2-17",2021-06-18,"C2-17_S","Soil","20173904.csv",11.8374166666667,10.455,13.365,11.625,7.30599246991218,2.91,"S","20173904","CON",33,18,0,9.1578,24.2910807017544,15.1332807017544,14.3466588240728,2.50924215740615,-1.2972,10.9260807017544,12.2232807017544
"381","C2-17",2021-06-24,"C2-17_S","Soil","20173904.csv",13.0496666666667,11.139,15.378,12.9315,12.8743562428217,4.239,"S","20173904","CON",33,24,1,10.1679192982456,29.6802035087719,19.5122842105263,17.8080380690442,4.7583714023775,-0.971080701754385,14.3022035087719,15.2732842105263
"382","C2-17",2021-06-25,"C2-17_S","Soil","20173904.csv",18.989,12.98,23.677,20.186,18.3704270747099,10.697,"S","20173904","CON",33,25,1,12.6072439544808,35.2648333333333,22.6575893788525,23.5819603597018,4.59296035970181,-0.372756045519203,11.5878333333333,11.9605893788525
